paper,weightedAverage,decision
Paper1,6.777777777777778,Accept
Paper10,5.909090909090909,Accept
Paper100,5.0,Reject
Paper1000,3.6923076923076925,Reject
Paper1002,4.0,Reject
Paper1003,4.222222222222222,Reject
Paper101,4.3076923076923075,Reject
Paper1012,5.916666666666667,Reject
Paper1015,5.8,Accept
Paper1017,6.0,Accept
Paper1019,7.357142857142857,Accept
Paper102,5.090909090909091,Reject
Paper1020,4.357142857142857,Reject
Paper1022,3.3846153846153846,Reject
Paper1023,6.615384615384615,Accept
Paper1026,5.818181818181818,Reject
Paper1027,2.272727272727273,Reject
Paper103,4.0,Reject
Paper1031,4.333333333333333,Reject
Paper1032,4.7,Reject
Paper1036,7.25,Accept
Paper1037,3.6666666666666665,Reject
Paper1038,4.909090909090909,Reject
Paper104,6.3,Accept
Paper1045,5.0,Reject
Paper1047,5.7,Reject
Paper1049,5.923076923076923,Accept
Paper105,4.909090909090909,Reject
Paper1050,5.583333333333333,Reject
Paper1051,4.75,Reject
Paper1053,5.333333333333333,Reject
Paper1055,7.2727272727272725,Accept
Paper1056,7.416666666666667,Accept
Paper1058,4.333333333333333,Reject
Paper106,3.375,Reject
Paper1060,7.769230769230769,Accept
Paper1065,4.923076923076923,Accept
Paper1066,5.636363636363637,Accept
Paper107,3.0,Reject
Paper1073,6.636363636363637,Accept
Paper1074,5.0,Reject
Paper1078,5.545454545454546,Reject
Paper108,4.909090909090909,Reject
Paper1083,3.923076923076923,Reject
Paper1087,5.285714285714286,Reject
Paper1088,6.375,Accept
Paper1089,4.7272727272727275,Reject
Paper109,3.230769230769231,Reject
Paper1093,3.6666666666666665,Reject
Paper1095,4.0,Reject
Paper1096,5.0,Reject
Paper1098,6.2727272727272725,Accept
Paper11,3.0,Reject
Paper110,4.285714285714286,Reject
Paper1101,5.4,Reject
Paper1103,3.3333333333333335,Reject
Paper1106,6.2727272727272725,Accept
Paper1108,7.0,Accept
Paper111,5.444444444444445,Reject
Paper1110,6.1,Accept
Paper1111,4.0,Reject
Paper1117,5.333333333333333,Reject
Paper1118,7.090909090909091,Accept
Paper1122,6.333333333333333,Accept
Paper1123,7.0,Accept
Paper1125,5.545454545454546,Reject
Paper1126,2.3636363636363638,Reject
Paper1127,4.9,Reject
Paper1129,4.357142857142857,Reject
Paper113,5.0,Reject
Paper1130,4.666666666666667,Reject
Paper1132,4.0,Reject
Paper1133,3.0714285714285716,Reject
Paper1136,3.3076923076923075,Reject
Paper1137,3.0,Reject
Paper114,6.3,Reject
Paper1140,4.0,Reject
Paper1141,5.3,Accept
Paper1144,5.6923076923076925,Accept
Paper1145,3.0,Reject
Paper1147,5.583333333333333,Reject
Paper1148,4.555555555555555,Reject
Paper1149,4.6923076923076925,Reject
Paper115,4.6923076923076925,Reject
Paper1151,3.25,Reject
Paper1156,5.818181818181818,Reject
Paper1157,3.230769230769231,Reject
Paper1159,5.375,Reject
Paper116,5.583333333333333,Reject
Paper1160,6.4,Accept
Paper1162,6.0,Reject
Paper1163,2.0,Reject
Paper1164,4.2,Reject
Paper1165,5.363636363636363,Reject
Paper1166,3.3333333333333335,Reject
Paper1167,5.2727272727272725,Reject
Paper1168,3.2857142857142856,Reject
Paper1169,5.916666666666667,Reject
Paper117,6.666666666666667,Accept
Paper1172,6.333333333333333,Accept
Paper1173,5.0,Reject
Paper118,5.2727272727272725,Reject
Paper12,3.0,Reject
Paper120,4.714285714285714,Reject
Paper121,6.0,Accept
Paper122,5.0,Reject
Paper123,4.230769230769231,Reject
Paper124,6.0,Accept
Paper125,5.0,Reject
Paper127,5.75,Reject
Paper128,6.666666666666667,Reject
Paper129,5.230769230769231,Reject
Paper13,5.2,Reject
Paper131,6.928571428571429,Accept
Paper132,6.8,Accept
Paper133,3.875,Reject
Paper134,6.090909090909091,Accept
Paper135,4.615384615384615,Reject
