paper,weightedAverage,decision
paper228,4.2727272727272725,Reject
paper229,5.230769230769231,Reject
paper23,5.230769230769231,Reject
paper230,4.545454545454546,Reject
paper231,5.363636363636363,Reject
paper232,5.3076923076923075,Reject
paper235,7.0,Accept
paper236,3.3333333333333335,Reject
paper238,5.333333333333333,Reject
paper239,4.4,Reject
paper240,6.666666666666667,Accept
paper241,6.363636363636363,Accept
paper242,5.2,Reject
paper243,5.222222222222222,Reject
paper244,4.615384615384615,Reject
paper245,3.0,Reject
paper246,5.846153846153846,Accept
paper247,5.083333333333333,Reject
paper249,6.666666666666667,Accept
paper250,2.923076923076923,Reject
paper251,9.0,Accept
paper252,6.2,Accept
paper253,3.230769230769231,Reject
paper254,6.333333333333333,Accept
paper255,6.461538461538462,Accept
paper256,3.3333333333333335,Reject
paper257,5.3076923076923075,Reject
paper258,4.2727272727272725,Reject
paper259,9.727272727272727,Accept
paper26,4.333333333333333,Reject
paper260,6.3,Accept
paper261,5.923076923076923,Reject
paper262,6.3,Reject
paper263,7.0,Accept
paper264,7.333333333333333,Accept
paper265,4.333333333333333,Reject
paper268,5.875,Reject
paper269,7.666666666666667,Accept
paper27,5.076923076923077,Reject
paper270,7.0,Accept
paper271,7.833333333333333,Accept
paper272,5.0,Reject
paper275,5.222222222222222,Reject
paper277,6.333333333333333,Accept
paper278,4.2727272727272725,Reject
paper279,7.3076923076923075,Accept
paper28,2.6666666666666665,Reject
paper280,6.333333333333333,Accept
paper281,6.416666666666667,Accept
paper282,5.181818181818182,Reject
paper283,4.666666666666667,Reject
paper284,4.333333333333333,Reject
paper285,6.923076923076923,Accept
paper287,6.0,Reject
paper288,5.636363636363637,Reject
paper289,7.153846153846154,Accept
paper29,8.1,Accept
paper290,5.0,Reject
paper291,6.0,Accept
paper292,6.384615384615385,Accept
paper293,6.636363636363637,Accept
paper294,4.5,Reject
paper295,5.333333333333333,Reject
paper296,6.3,Accept
paper297,5.571428571428571,Reject
paper298,6.583333333333333,Reject
paper299,6.0,Reject
paper3,3.6666666666666665,Reject
paper30,2.6666666666666665,Reject
paper300,7.0,Accept
paper301,7.0,Accept
paper302,7.090909090909091,Accept
paper303,7.666666666666667,Accept
paper304,4.0,Reject
paper305,6.0,Reject
paper307,5.1,Reject
paper308,4.666666666666667,Reject
paper309,5.666666666666667,Reject
paper31,7.0,Accept
paper310,3.3333333333333335,Reject
paper311,8.166666666666666,Accept
paper314,5.333333333333333,Reject
paper315,4.583333333333333,Reject
paper316,5.454545454545454,Reject
paper317,7.153846153846154,Accept
paper318,7.0,Accept
paper319,6.3076923076923075,Accept
paper321,5.181818181818182,Reject
paper322,7.454545454545454,Accept
paper323,5.333333333333333,Reject
paper324,5.636363636363637,Reject
paper325,6.2727272727272725,Reject
paper326,5.0,Accept
paper327,3.3636363636363638,Reject
paper328,4.357142857142857,Reject
paper329,6.923076923076923,Accept
paper33,5.7272727272727275,Reject
paper330,5.0,Reject
paper331,6.0,Accept
paper34,4.384615384615385,Reject
paper341,6.333333333333333,Reject
paper343,4.666666666666667,Reject
paper344,6.0,Reject
paper345,5.818181818181818,Reject
paper346,6.666666666666667,Accept
paper347,5.636363636363637,Accept
paper348,4.666666666666667,Reject
paper349,7.0,Accept
paper35,5.6,Reject
paper350,5.666666666666667,Reject
paper352,7.363636363636363,Accept
paper353,5.181818181818182,Reject
paper354,6.6923076923076925,Accept
paper355,6.666666666666667,Accept
paper356,6.8,Accept
paper357,4.2727272727272725,Reject
paper359,7.3076923076923075,Accept
paper36,3.8181818181818183,Reject
paper360,8.071428571428571,Accept
paper361,5.833333333333333,Reject
paper362,6.333333333333333,Accept
paper363,5.333333333333333,Reject
paper364,6.666666666666667,Accept
paper365,5.7272727272727275,Reject
paper367,5.3,Reject
paper368,7.2727272727272725,Accept
paper369,6.666666666666667,Accept
paper37,5.0,Reject
paper370,5.2727272727272725,Reject
paper371,3.0,Reject
paper372,4.3,Reject
paper373,6.4,Accept
paper374,4.8,Reject
paper375,5.181818181818182,Reject
paper376,4.0,Reject
paper377,6.666666666666667,Accept
paper378,7.6923076923076925,Accept
paper379,8.0,Accept
paper380,6.125,Reject
paper381,3.6666666666666665,Reject
paper382,5.7,Reject
paper383,6.0,Reject
paper384,6.3076923076923075,Reject
paper385,6.0,Reject
paper386,7.666666666666667,Accept
paper387,4.363636363636363,Reject
paper388,4.363636363636363,Reject
paper390,6.75,Accept
paper391,6.428571428571429,Accept
paper392,7.75,Accept
paper393,8.363636363636363,Accept
paper399,8.0,Accept
paper4,4.363636363636363,Reject
paper40,4.4,Reject
paper401,5.923076923076923,Reject
paper402,5.3076923076923075,Reject
paper403,6.3,Reject
paper409,6.333333333333333,Accept
paper410,4.4,Reject
paper411,7.642857142857143,Accept
paper412,3.357142857142857,Reject
paper413,4.0,Reject
paper414,6.909090909090909,Accept
paper415,8.5,Accept
paper416,4.666666666666667,Reject
paper417,6.3,Accept
paper418,4.166666666666667,Reject
paper419,6.0,Accept
paper42,7.0,Accept
paper420,3.7142857142857144,Reject
paper421,7.0,Accept
paper422,5.933333333333334,Reject
paper423,5.181818181818182,Reject
paper424,5.666666666666667,Reject
paper425,6.0,Reject
paper426,5.222222222222222,Reject
paper427,7.333333333333333,Accept
paper428,7.6923076923076925,Accept
paper429,5.071428571428571,Reject
paper43,4.9,Reject
paper430,5.3,Reject
paper431,4.333333333333333,Reject
paper432,3.6153846153846154,Reject
paper433,4.5,Reject
paper434,7.615384615384615,Accept
paper435,4.3,Reject
paper438,6.076923076923077,Reject
paper439,6.0,Reject
paper44,3.0,Reject
paper440,7.545454545454546,Accept
paper441,4.555555555555555,Reject
paper442,7.333333333333333,Accept
paper443,6.769230769230769,Accept
paper444,5.076923076923077,Reject
paper446,4.8,Reject
paper447,7.666666666666667,Accept
paper448,7.2727272727272725,Accept
paper449,4.636363636363637,Reject
paper45,8.454545454545455,Accept
paper450,6.0,Reject
paper451,6.0,Reject
paper453,6.636363636363637,Accept
paper454,6.666666666666667,Accept
paper459,6.833333333333333,Accept
paper46,6.153846153846154,Accept
paper460,4.7,Reject
paper461,4.5,Reject
paper462,7.333333333333333,Accept
paper463,4.0,Reject
paper465,6.8,Accept
paper466,6.5,Reject
paper467,6.5625,Accept
paper468,6.615384615384615,Accept
paper469,6.555555555555555,Accept
paper47,6.666666666666667,Accept
paper470,4.461538461538462,Reject
paper472,7.769230769230769,Accept
paper473,4.0,Reject
paper474,4.0,Reject
paper475,3.6,Reject
paper476,3.3333333333333335,Reject
paper477,6.25,Accept
paper478,7.2,Accept
paper48,6.769230769230769,Accept
paper480,6.7272727272727275,Accept
paper481,7.071428571428571,Accept
paper483,6.666666666666667,Accept
paper484,4.7272727272727275,Reject
paper485,4.2,Reject
paper486,4.666666666666667,Reject
paper487,6.333333333333333,Reject
paper488,7.0,Accept
paper489,6.0,Reject
paper49,5.133333333333334,Reject
paper492,6.916666666666667,Accept
paper493,5.0,Reject
paper494,7.0,Accept
paper495,7.2,Accept
paper496,5.7,Reject
paper497,6.6923076923076925,Accept
paper498,6.636363636363637,Accept
paper499,5.538461538461538,Accept
paper5,6.0,Reject
paper50,5.2727272727272725,Reject
paper500,6.555555555555555,Reject
paper501,7.916666666666667,Accept
paper503,6.7,Accept
paper504,5.333333333333333,Accept
paper505,6.9,Accept
paper506,6.0,Reject
paper507,6.0,Reject
paper508,7.5,Accept
paper509,5.714285714285714,Reject
paper51,6.0,Reject
paper510,6.7,Accept
paper511,7.0,Accept
paper512,7.0,Accept
paper513,6.076923076923077,Accept
paper514,5.0,Reject
paper515,5.75,Reject
paper516,7.0,Accept
paper517,5.666666666666667,Reject
paper518,4.0,Reject
paper519,7.333333333333333,Accept
paper52,5.3,Reject
paper520,7.0,Accept
paper521,5.384615384615385,Reject
paper522,5.0,Reject
paper524,4.0,Reject
paper525,5.666666666666667,Accept
paper526,5.2727272727272725,Reject
paper527,4.0,Reject
paper528,4.636363636363637,Reject
paper529,6.0,Reject
paper53,4.5,Reject
paper530,4.666666666666667,Reject
paper531,5.7272727272727275,Accept
paper533,6.7,Accept
paper534,7.142857142857143,Accept
paper536,5.5,Reject
paper538,3.6666666666666665,Reject
paper539,6.923076923076923,Accept
paper540,3.0,Reject
paper541,6.0,Accept
paper543,6.2727272727272725,Reject
paper544,5.0,Reject
paper545,4.25,Reject
paper546,4.2727272727272725,Reject
paper547,6.4,Reject
paper548,6.75,Accept
paper549,6.714285714285714,Accept
paper55,3.857142857142857,Reject
paper550,3.3333333333333335,Reject
paper552,3.3636363636363638,Reject
paper553,5.6923076923076925,Accept
paper554,4.666666666666667,Reject
paper555,7.666666666666667,Accept
paper556,5.2727272727272725,Reject
paper557,5.333333333333333,Reject
paper56,4.636363636363637,Reject
paper561,4.0,Reject
paper562,3.75,Reject
paper563,4.0,Reject
paper564,4.0,Reject
paper565,6.0,Reject
paper566,5.833333333333333,Accept
paper567,4.0,Reject
paper568,4.333333333333333,Reject
paper57,6.0,Reject
paper570,5.1,Reject
paper571,6.25,Accept
paper573,8.266666666666667,Accept
paper576,4.0,Reject
paper577,3.6153846153846154,Reject
paper578,6.636363636363637,Accept
paper579,5.615384615384615,Reject
paper58,5.5,Reject
paper580,6.818181818181818,Accept
paper581,4.916666666666667,Reject
paper582,6.461538461538462,Accept
paper584,7.153846153846154,Accept
paper585,6.636363636363637,Accept
paper586,5.818181818181818,Reject
paper587,3.0,Reject
paper589,7.071428571428571,Accept
paper59,7.666666666666667,Accept
paper590,6.722222222222222,Accept
paper591,5.75,Reject
paper593,6.571428571428571,Accept
paper595,6.2727272727272725,Accept
paper596,4.666666666666667,Reject
paper597,8.416666666666666,Accept
paper598,3.9166666666666665,Reject
paper599,3.642857142857143,Reject
paper6,5.111111111111111,Reject
paper60,8.0,Accept
paper600,5.333333333333333,Reject
paper601,7.333333333333333,Accept
paper604,4.75,Reject
paper605,4.2727272727272725,Reject
paper606,7.3,Accept
paper607,3.6666666666666665,Reject
paper608,4.3076923076923075,Reject
paper609,5.333333333333333,Reject
paper61,5.666666666666667,Reject
paper610,6.0,Accept
paper62,6.666666666666667,Accept
paper63,3.923076923076923,Reject
paper64,2.75,Reject
paper65,5.266666666666667,Reject
paper69,4.0,Reject
paper7,7.769230769230769,Accept
paper70,5.181818181818182,Reject
paper71,6.3,Accept
paper72,7.0,Accept
paper73,4.0,Reject
paper74,5.083333333333333,Reject
paper75,6.181818181818182,Accept
paper76,7.8,Accept
paper77,3.3076923076923075,Reject
paper78,4.666666666666667,Reject
paper79,3.3846153846153846,Reject
paper8,6.923076923076923,Accept
paper80,5.909090909090909,Reject
paper81,6.7272727272727275,Accept
paper82,6.2727272727272725,Reject
paper83,6.333333333333333,Accept
paper84,7.083333333333333,Accept
paper85,2.6153846153846154,Reject
paper88,4.25,Reject
paper89,5.666666666666667,Reject
paper9,7.6,Accept
paper90,4.411764705882353,Reject
paper91,5.4,Reject
paper92,6.2727272727272725,Accept
paper93,5.333333333333333,Reject
paper94,6.636363636363637,Accept
paper95,6.666666666666667,Accept
paper96,4.222222222222222,Reject
paper97,6.4,Accept
paper98,7.0,Accept
