paper,weightedAverage,decision
paper1,6.7272727272727275,Accept
paper10,8.5,Accept
paper100,5.6,Reject
paper101,3.272727272727273,Reject
paper102,7.0,Accept
paper103,8.4,Accept
paper104,6.25,Reject
paper105,5.888888888888889,Reject
paper106,3.6666666666666665,Reject
paper107,4.071428571428571,Reject
paper108,3.75,Reject
paper109,6.8,Accept
paper11,5.7272727272727275,Accept
paper111,4.571428571428571,Reject
paper113,5.285714285714286,Reject
paper114,3.909090909090909,Reject
paper115,4.909090909090909,Reject
paper116,7.666666666666667,Accept
paper117,3.0,Reject
paper119,5.428571428571429,Reject
paper12,7.7272727272727275,Accept
paper120,3.0,Reject
paper121,7.0,Accept
paper122,6.7272727272727275,Accept
paper123,4.2727272727272725,Reject
paper124,7.0,Accept
paper125,6.2727272727272725,Reject
paper126,4.909090909090909,Reject
paper128,3.6153846153846154,Reject
paper129,6.769230769230769,Accept
paper13,3.0,Reject
paper133,5.666666666666667,Reject
paper134,6.333333333333333,Accept
paper135,5.9,Reject
paper136,4.75,Reject
paper144,6.277777777777778,Reject
paper145,2.923076923076923,Reject
paper147,5.5,Reject
paper148,7.0,Accept
paper149,5.0,Reject
paper150,4.0,Reject
paper151,4.0,Reject
paper153,7.0,Accept
paper154,5.454545454545454,Reject
paper155,5.333333333333333,Reject
paper156,6.166666666666667,Accept
paper157,5.444444444444445,Reject
paper158,5.0,Reject
paper160,6.0,Accept
paper161,4.333333333333333,Reject
paper162,5.428571428571429,Reject
paper163,5.8,Reject
paper164,7.083333333333333,Accept
paper165,6.0,Reject
paper166,5.714285714285714,Accept
paper167,5.7272727272727275,Reject
paper168,4.333333333333333,Reject
paper169,5.2,Reject
paper170,7.1875,Accept
paper171,4.384615384615385,Reject
paper172,6.454545454545454,Accept
paper173,5.3,Reject
paper175,1.8461538461538463,Reject
paper176,8.0,Accept
paper177,5.333333333333333,Reject
paper178,4.0,Reject
paper180,6.3,Accept
paper182,4.923076923076923,Reject
paper183,4.909090909090909,Reject
paper184,6.818181818181818,Accept
paper185,7.909090909090909,Accept
paper186,3.0,Reject
paper187,7.0,Reject
paper188,5.588235294117647,Reject
paper189,7.363636363636363,Accept
paper192,5.363636363636363,Reject
paper193,6.333333333333333,Reject
paper194,7.461538461538462,Accept
paper195,6.0,Reject
paper196,4.7272727272727275,Reject
paper197,6.0,Reject
paper198,4.0,Reject
paper2,3.2857142857142856,Reject
paper200,7.2727272727272725,Accept
paper201,5.333333333333333,Reject
paper202,7.181818181818182,Accept
paper203,7.0,Accept
paper204,3.6923076923076925,Reject
paper206,7.75,Accept
paper207,5.0,Accept
paper208,5.3076923076923075,Reject
paper209,4.333333333333333,Reject
paper210,4.875,Reject
paper211,7.416666666666667,Accept
paper212,5.416666666666667,Reject
paper213,4.0,Reject
paper214,5.642857142857143,Accept
paper215,8.444444444444445,Accept
paper216,4.666666666666667,Reject
paper217,5.2727272727272725,Reject
paper218,5.461538461538462,Reject
paper219,3.6666666666666665,Reject
paper220,7.454545454545454,Accept
paper221,3.0,Reject
paper222,7.363636363636363,Accept
paper223,6.0,Accept
paper224,3.272727272727273,Reject
paper226,4.9,Reject
paper227,5.75,Reject
