paper,weightedAverage,decision
Paper1,5.0,Accept
Paper10,5.0,Reject
Paper1000,3.888888888888889,Reject
Paper1001,3.0,Reject
Paper1002,4.0,Reject
Paper1003,4.333333333333333,Reject
Paper1004,5.888888888888889,Accept
Paper1005,6.75,Accept
Paper1006,1.4444444444444444,Reject
Paper1007,3.857142857142857,Reject
Paper1008,6.857142857142857,Accept
Paper1009,1.25,Reject
Paper101,5.181818181818182,Reject
Paper1010,6.0,Accept
Paper1011,6.0,Accept
Paper1012,6.8,Reject
Paper1014,4.5,Reject
Paper1016,3.0,Reject
Paper1017,5.222222222222222,Reject
Paper1018,4.875,Reject
Paper1019,5.375,Accept
Paper102,8.0,Accept
Paper1020,6.0,Accept
Paper1021,4.111111111111111,Reject
Paper1022,4.090909090909091,Reject
Paper1023,2.25,Reject
Paper1025,2.4545454545454546,Reject
Paper1027,4.125,Accept
Paper1028,8.0,Accept
Paper1029,4.666666666666667,Reject
Paper103,5.142857142857143,Accept
Paper1030,3.857142857142857,Reject
Paper1031,3.0,Reject
Paper1033,4.875,Reject
Paper1034,7.714285714285714,Accept
Paper1035,6.0,Accept
Paper1036,6.0,Accept
Paper1037,3.9,Reject
Paper1038,6.0,Accept
Paper1039,6.333333333333333,Accept
Paper1040,2.4285714285714284,Reject
Paper1041,6.0,Reject
Paper1042,2.3333333333333335,Reject
Paper1043,6.6,Accept
Paper1044,3.0,Reject
Paper1045,3.3,Reject
Paper1046,3.75,Reject
Paper1047,4.8,Reject
Paper1048,4.0,Reject
Paper105,3.2857142857142856,Reject
Paper1050,2.6666666666666665,Reject
Paper1051,3.6666666666666665,Reject
Paper1052,5.625,Accept
Paper1053,4.5,Accept
Paper1054,4.2,Accept
Paper1056,4.333333333333333,Reject
Paper1057,7.2,Accept
Paper1058,6.7272727272727275,Accept
Paper106,4.0,Reject
Paper1060,2.4,Reject
Paper1061,3.0,Reject
Paper1062,5.0,Reject
Paper1063,7.0,Accept
Paper1064,2.4,Reject
Paper1065,2.3333333333333335,Reject
Paper1066,5.0,Reject
Paper1067,4.5,Accept
Paper1068,3.0,Reject
Paper1069,2.25,Reject
Paper107,2.5,Reject
Paper1071,3.625,Reject
Paper1072,4.125,Reject
Paper1073,6.666666666666667,Accept
Paper1074,6.857142857142857,Accept
Paper1076,6.0,Reject
Paper1078,1.5,Reject
Paper1079,3.0,Reject
Paper108,6.333333333333333,Accept
Paper1080,6.75,Accept
Paper1081,4.8,Reject
Paper1082,3.9,Reject
Paper1083,7.375,Accept
Paper1084,7.2,Accept
Paper1086,1.4,Reject
Paper1087,4.384615384615385,Reject
Paper1088,2.5,Reject
Paper109,3.0,Reject
Paper1090,3.375,Reject
Paper1091,4.428571428571429,Reject
Paper1094,2.857142857142857,Reject
Paper1095,6.5,Accept
Paper1096,2.8,Reject
Paper1097,6.222222222222222,Accept
Paper1098,2.7777777777777777,Reject
Paper11,2.0,Reject
Paper110,6.0,Reject
Paper1101,3.0,Reject
Paper1102,3.0,Reject
Paper1103,3.5,Reject
Paper1104,2.25,Reject
Paper1105,5.5,Accept
Paper1107,4.875,Reject
Paper1108,6.0,Accept
Paper1109,3.75,Reject
Paper111,4.666666666666667,Reject
Paper1110,3.0,Reject
Paper1111,5.454545454545454,Reject
Paper1112,6.0,Accept
Paper1113,4.875,Accept
Paper1114,4.8,Reject
Paper1115,4.0,Reject
Paper1116,5.222222222222222,Reject
Paper1117,6.0,Accept
Paper1118,3.3333333333333335,Reject
Paper1119,1.75,Reject
Paper112,6.0,Accept
Paper1121,3.0,Reject
Paper1122,3.0,Reject
Paper1123,6.0,Accept
Paper1124,6.0,Accept
Paper1125,3.0,Reject
Paper1126,3.0,Reject
Paper1127,3.5,Reject
Paper1128,3.6,Reject
Paper1129,4.714285714285714,Reject
Paper113,6.0,Accept
Paper1130,6.888888888888889,Accept
Paper1132,6.75,Accept
Paper1133,3.5,Reject
Paper1134,6.0,Accept
Paper1135,6.0,Accept
Paper1136,1.8571428571428572,Reject
Paper1138,1.0,Reject
